"id","user","ekstra","keterangan","waktu","nis"
"50","Alex Jones","SNB","hadir","2024-05-21 15:30:50","12345"
"51","Sarah Smith","SNB","hadir","2024-05-21 15:30:00","67890"
"52","Michael Brown","SNB","hadir","2024-05-21 15:31:00","54321"
"53","Arif Budi","Hiking Club","hadir","2024-05-06 16:20:10","10001"
"54","Bella Nur","Hiking Club","hadir","2024-05-06 16:20:59","10002"
"55","Citra Dewi","Hiking Club","hadir","2024-05-06 16:23:21","10003"
"56","Doni Prasetyo","Hiking Club","hadir","2024-05-06 16:24:00","10004"
"57","Eka Putra","Hiking Club","hadir","2024-05-06 16:24:12","10005"
"58","Fina Melati","Hiking Club","hadir","2024-05-06 16:25:00","10006"
"59","Emily Davis","SNB","hadir","2024-05-21 15:35:00","98765"
"60","Daniel Taylor","SNB","hadir","2024-05-21 16:00:00","23456"
"61","Ashley Anderson","SNB","hadir","2024-05-21 16:00:00","87654"
"62","James Thomas","SNB","hadir","2024-05-06 21:00:00","65432"
"63","Hannah Jackson","SNB","hadir","2024-05-21 16:00:00","45678"
"64","Joshua White","SNB","hadir","2024-05-21 16:00:00","12389"
"65","Zhendisini","KIR","hadir","2024-05-16 16:00:00","99999"
"66","Demo","KIR","hadir","2024-05-16 16:00:00","99999"
"67","Adi Nugroho","KIR","hadir","2024-05-16 16:00:00","10101"
"68","Bambang Susanto","KIR","hadir","2024-05-16 16:00:00","10102"
"69","Citra Wulandari","KIR","hadir","2024-05-16 16:00:00","10103"
"70","Dewi Kartika","KIR","hadir","2024-05-16 16:00:00","10104"
"71","Adam Williams","SDF","hadir","2024-05-15 16:00:00","10001"
"72","Siti Nurhaliza","SDF","hadir","2024-05-15 16:00:00","10002"
"73","Benjamin Martin","SDF","hadir","2024-05-15 16:00:00","10003"
"74","Diana Putri","SDF","hadir","2024-05-15 16:00:00","10004"
"75","Charlie Jones","SDF","hadir","2024-05-15 16:00:00","10005"
"76","Edward Smith","SDF","hadir","2024-05-15 16:00:00","10006"
"77","Ratna Wati","SDF","hadir","2024-05-15 16:00:00","10007"
"78","Freddie Tan","SDF","hadir","2024-05-15 16:00:00","10008"
"79","Gabriella Kurniawan","SDF","hadir","2024-05-15 16:00:00","10009"
"80","Harry Johnson","SDF","hadir","2024-05-15 16:00:00","10010"
"81","Ian Thomas","SDF","hadir","2024-05-15 16:00:00","10011"
"82","Jake Anderson","JURNALISTIK","hadir","2024-05-15 16:02:34","76543"
"83","Mario John","JURNALISTIK","hadir","2024-05-15 16:05:23","98765"
"84","Nina Clark","JURNALISTIK","hadir","2024-05-15 16:08:45","65432"
"85","Tina Williams","JURNALISTIK","hadir","2024-05-15 16:10:45","65432"
"86","Emmett Rodriguez","JURNALISTIK","hadir","2024-05-15 16:13:56","45678"
"87","Mia Lopez","JURNALISTIK","hadir","2024-05-15 16:14:25","65432"
"88","Josh Miller","JURNALISTIK","hadir","2024-05-15 16:15:12","12345"
"89","Olivia Lee","JURNALISTIK","hadir","2024-05-15 16:19:27","98765"
"90","Sophia Davis","JURNALISTIK","hadir","2024-05-15 16:20:30","54321"
"91","David Hernandez","JURNALISTIK","hadir","2024-05-15 16:22:48","87654"
"92","Amos Thomas","JURNALISTIK","hadir","2024-05-15 16:25:54","87654"
"93","Gina Garcia","JURNALISTIK","hadir","2024-05-15 16:27:30","34567"
"94","Lucas Martinez","JURNALISTIK","hadir","2024-05-15 16:29:59","23456"
"95","Lea Martin","JURNALISTIK","hadir","2024-05-15 16:30:07","23456"
"96","Agung Pratama","SBAQ","hadir","2024-05-13 16:20:00","10001"
"97","Budi Santoso","SBAQ","hadir","2024-05-13 16:25:00","10002"
"98","Chandra Wibowo","SBAQ","hadir","2024-05-13 16:30:00","10003"
"99","Dina Sukmawati","SBAQ","hadir","2024-05-13 16:35:00","10004"
"100","Eka Puspitasari","SBAQ","hadir","2024-05-13 16:40:00","10005"
"101","Fajar Setiawan","SBAQ","hadir","2024-05-13 16:45:00","10006"
"102","Galih Ramdani","SBAQ","hadir","2024-05-13 16:50:00","10007"
"103","Hesti Andini","SBAQ","hadir","2024-05-13 16:55:00","10008"
"104","Irfan Hakim","SBAQ","hadir","2024-05-13 17:00:00","10009"
"105","Joseph Garcia","SNB","hadir","2024-05-23 12:35:32","34512"
