"id","username","email","password","fullname","kelas","gender","nis","ekstraa","user_tipe"
"48","alex","alex_jones@example.com","123","Alex Jones","10 KA A","Male","12345","SNB","siswa"
"49","sarah","sarah_smith@example.com","123","Sarah Smith","11 KA B","Female","67890","SNB","siswa"
"50","michael","michael_brown@example.com","123","Michael Brown","12 SIJA A","Male","54321","SNB","siswa"
"51","emily","emily_davis@example.com","123","Emily Davis","10 SIJA B","Female","98765","SNB","siswa"
"52","david","david_wilson@example.com","123","David Wilson","11 KA A","Male","34567","SNB","siswa"
"53","jessica","jessica_moore@example.com","123","Jessica Moore","12 KA B","Female","76543","SNB","siswa"
"54","daniel","daniel_taylor@example.com","123","Daniel Taylor","10 SIJA A","Male","23456","SNB","siswa"
"55","ashley","ashley_anderson@example.com","123","Ashley Anderson","11 SIJA B","Female","87654","SNB","siswa"
"56","james","james_thomas@example.com","123","James Thomas","12 KA A","Male","65432","SNB","siswa"
"57","hannah","hannah_jackson@example.com","123","Hannah Jackson","10 KA B","Female","45678","SNB","siswa"
"58","joshua","joshua_white@example.com","123","Joshua White","11 SIJA A","Male","12389","SNB","siswa"
"59","megan","megan_harris@example.com","123","Megan Harris","12 SIJA B","Female","67891","SNB","siswa"
"60","andrew","andrew_martin@example.com","123","Andrew Martin","10 KA A","Male","54312","SNB","siswa"
"61","lauren","lauren_thompson@example.com","123","Lauren Thompson","11 KA B","Female","98716","SNB","siswa"
"62","joseph","joseph_garcia@example.com","123","Joseph Garcia","12 SIJA A","Male","34512","SNB","siswa"
"63","samantha","samantha_martinez@example.com","123","Samantha Martinez","10 SIJA B","Female","76541","SNB","siswa"
"64","chris","chris_hernandez@example.com","123","Chris Hernandez","11 KA A","Male","23451","SNB","siswa"
"65","elizabeth","elizabeth_lopez@example.com","123","Elizabeth Lopez","12 KA B","Female","87613","SNB","siswa"
"66","matthew","matthew_hall@example.com","123","Matthew Hall","10 SIJA A","Male","65421","SNB","siswa"
"67","karen","karen_clark@example.com","123","Karen Clark","11 SIJA B","Female","45617","SNB","siswa"
"68","barr","zhendevss@gmail.com","bar123","Muhammad Akbar Amaanullaah","11 SIJA B","Male","20426","SNB","admin"
"69","zhenn","zhendev@gmail.com","123","zhendisini","11 SIJA B","Male","99999","KIR","siswa"
"70","demo","demo@gmail.com","demo123","demo","11 SIJA B","Male","99999","KIR","siswa"
"71","agung_pratama","agung_pratama@example.com","123","Agung Pratama","10 KA A","Male","10001","SBAQ","siswa"
"72","budi_santoso","budi_santoso@example.com","123","Budi Santoso","11 KA B","Male","10002","SBAQ","siswa"
"73","chandra_wibowo","chandra_wibowo@example.com","123","Chandra Wibowo","12 SIJA A","Male","10003","SBAQ","siswa"
"74","dina_sukmawati","dina_sukmawati@example.com","123","Dina Sukmawati","10 SIJA B","Female","10004","SBAQ","siswa"
"75","eka_puspitasari","eka_puspitasari@example.com","123","Eka Puspitasari","11 KA A","Female","10005","SBAQ","siswa"
"76","fajar_setiawan","fajar_setiawan@example.com","123","Fajar Setiawan","12 KA B","Male","10006","SBAQ","siswa"
"77","galih_ramdani","galih_ramdani@example.com","123","Galih Ramdani","10 SIJA A","Male","10007","SBAQ","siswa"
"78","hesti_andini","hesti_andini@example.com","123","Hesti Andini","11 SIJA B","Female","10008","SBAQ","siswa"
"79","irfan_hakim","irfan_hakim@example.com","123","Irfan Hakim","12 KA A","Male","10009","SBAQ","siswa"
"80","joko_susanto","joko_susanto@example.com","123","Joko Susanto","10 KA B","Male","10010","SBAQ","siswa"
"81","karina_wardani","karina_wardani@example.com","123","Karina Wardani","11 SIJA A","Female","10011","SBAQ","siswa"
"82","lina_nuraini","lina_nuraini@example.com","123","Lina Nuraini","12 SIJA B","Female","10012","SBAQ","siswa"
"83","mario_rizky","mario_rizky@example.com","123","Mario Rizky","10 KA A","Male","10013","SBAQ","siswa"
"84","nina_saputri","nina_saputri@example.com","123","Nina Saputri","11 KA B","Female","10014","SBAQ","siswa"
"85","oprandi_syahputra","oprandi_syahputra@example.com","123","Oprandi Syahputra","12 SIJA A","Male","10015","SBAQ","siswa"
"86","putri_maharani","putri_maharani@example.com","123","Putri Maharani","10 SIJA B","Female","10016","SBAQ","siswa"
"87","rahmat_hidayat","rahmat_hidayat@example.com","123","Rahmat Hidayat","11 KA A","Male","10017","SBAQ","siswa"
"88","siti_aisyah","siti_aisyah@example.com","123","Siti Aisyah","12 KA B","Female","10018","SBAQ","siswa"
"89","toni_prayoga","toni_prayoga@example.com","123","Toni Prayoga","10 SIJA A","Male","10019","SBAQ","siswa"
"90","utami_susanti","utami_susanti@example.com","123","Utami Susanti","11 SIJA B","Female","10020","SBAQ","siswa"
"91","vera_putri","vera_putri@example.com","123","Vera Putri","12 KA A","Female","10021","SBAQ","siswa"
"92","wawan_setiawan","wawan_setiawan@example.com","123","Wawan Setiawan","10 KA B","Male","10022","SBAQ","siswa"
"93","yulia_nuraini","yulia_nuraini@example.com","123","Yulia Nuraini","11 SIJA A","Female","10023","SBAQ","siswa"
"94","zulkifli_hasibuan","zulkifli_hasibuan@example.com","123","Zulkifli Hasibuan","12 SIJA B","Male","10024","SBAQ","siswa"
"95","arif_budi","arif_budi@example.com","123","Arif Budi","10 GP A","Male","10001","Hiking Club","siswa"
"96","bella_nur","bella_nur@example.com","123","Bella Nur","11 TKR B","Female","10002","Hiking Club","siswa"
"97","citra_dewi","citra_dewi@example.com","123","Citra Dewi","10 GP B","Female","10003","Hiking Club","siswa"
"98","doni_prasetyo","doni_prasetyo@example.com","123","Doni Prasetyo","11 GP B","Male","10004","Hiking Club","siswa"
"99","eka_putra","eka_putra@example.com","123","Eka Putra","10 TP","Male","10005","Hiking Club","siswa"
"100","fina_melati","fina_melati@example.com","123","Fina Melati","10 GP A","Female","10006","Hiking Club","siswa"
"101","gita_sari","gita_sari@example.com","123","Gita Sari","11 TKR B","Female","10007","Hiking Club","siswa"
"102","hendra_kusuma","hendra_kusuma@example.com","123","Hendra Kusuma","10 GP B","Male","10008","Hiking Club","siswa"
"103","indra_novian","indra_novian@example.com","123","Indra Novian","11 GP B","Male","10009","Hiking Club","siswa"
"104","julia_purnama","julia_purnama@example.com","123","Julia Purnama","10 TP","Female","10010","Hiking Club","siswa"
"105","krisna_putra","krisna_putra@example.com","123","Krisna Putra","10 GP A","Male","10011","Hiking Club","siswa"
"106","linda_sari","linda_sari@example.com","123","Linda Sari","11 TKR B","Female","10012","Hiking Club","siswa"
"107","miko_pratama","miko_pratama@example.com","123","Miko Pratama","10 GP B","Male","10013","Hiking Club","siswa"
"108","nina_anggraeni","nina_anggraeni@example.com","123","Nina Anggraeni","11 GP B","Female","10014","Hiking Club","siswa"
"109","oni_kusuma","oni_kusuma@example.com","123","Oni Kusuma","10 TP","Male","10015","Hiking Club","siswa"
"110","prima_jaya","prima_jaya@example.com","123","Prima Jaya","10 GP A","Male","10016","Hiking Club","siswa"
"111","ratna_damayanti","ratna_damayanti@example.com","123","Ratna Damayanti","11 TKR B","Female","10017","Hiking Club","siswa"
"112","samsul_bachri","samsul_bachri@example.com","123","Samsul Bachri","10 GP B","Male","10018","Hiking Club","siswa"
"113","adam_williams","adam_williams@example.com","123","Adam Williams","10 SIJA A","Male","10001","SDF","siswa"
"114","siti_nurhaliza","siti_nurhaliza@example.com","123","Siti Nurhaliza","11 SIJA B","Female","10002","SDF","siswa"
"115","benjamin_martin","benjamin_martin@example.com","123","Benjamin Martin","12 GP A","Male","10003","SDF","siswa"
"116","diana_putri","diana_putri@example.com","123","Diana Putri","11 KA A","Female","10004","SDF","siswa"
"117","charlie_jones","charlie_jones@example.com","123","Charlie Jones","11 KI B","Male","10005","SDF","siswa"
"118","edward_smith","edward_smith@example.com","123","Edward Smith","10 SIJA A","Male","10006","SDF","siswa"
"119","ratna_wati","ratna_wati@example.com","123","Ratna Wati","11 SIJA B","Female","10007","SDF","siswa"
"120","freddie_tan","freddie_tan@example.com","123","Freddie Tan","12 GP A","Male","10008","SDF","siswa"
"121","gabriella_kurniawan","gabriella_kurniawan@example.com","123","Gabriella Kurniawan","11 KA A","Female","10009","SDF","siswa"
"122","harry_johnson","harry_johnson@example.com","123","Harry Johnson","11 KI B","Male","10010","SDF","siswa"
"123","ian_thomas","ian_thomas@example.com","123","Ian Thomas","10 SIJA A","Male","10011","SDF","siswa"
"124","jessica_wong","jessica_wong@example.com","123","Jessica Wong","11 SIJA B","Female","10012","SDF","siswa"
"125","kyle_morris","kyle_morris@example.com","123","Kyle Morris","12 GP A","Male","10013","SDF","siswa"
"126","laura_williams","laura_williams@example.com","123","Laura Williams","11 KA A","Female","10014","SDF","siswa"
